id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,color,size
SF0034,Dior Walk'n'Dior,Dior Walk'n'Dior disponível na grade 34/40. Consulte disponibilidade de cores e numerações.,in stock,new,299.00 BRL,https://sneakersfast.com.br/SF0034.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788244557/sneakerfast_catalog/SF0034_main.jpg,"https://sneakersfast.com.br/assets/images/SF0034/02.jpg,https://sneakersfast.com.br/assets/images/SF0034/03.jpg,https://sneakersfast.com.br/assets/images/SF0034/04.jpg,https://sneakersfast.com.br/assets/images/SF0034/05.jpg,https://sneakersfast.com.br/assets/images/SF0034/06.jpg,https://sneakersfast.com.br/assets/images/SF0034/07.jpg,https://sneakersfast.com.br/assets/images/SF0034/08.jpg,https://sneakersfast.com.br/assets/images/SF0034/09.jpg",Dior,,34/40
SF0035,Dior Low Sneaker Off White Monograma,"Tênis Dior premium importado, acabamento refinado, cor off white com monograma discreto e excelente apresentação para revenda.",in stock,new,299.00 BRL,https://sneakersfast.com.br/SF0035.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253006/sneakerfast_catalog/SF0035_main.jpg,"https://sneakersfast.com.br/assets/images/SF0035/02.jpg,https://sneakersfast.com.br/assets/images/SF0035/03.jpg,https://sneakersfast.com.br/assets/images/SF0035/04.jpg,https://sneakersfast.com.br/assets/images/SF0035/05.jpg,https://sneakersfast.com.br/assets/images/SF0035/06.jpg,https://sneakersfast.com.br/assets/images/SF0035/07.jpg,https://sneakersfast.com.br/assets/images/SF0035/08.jpg,https://sneakersfast.com.br/assets/images/SF0035/09.jpg",Dior,OFF-WHITE,34/44
SF0036,Dior Sneaker Feminino Branco com Rosa Metalizado,"Tênis Dior feminino premium, branco com detalhes em rosa metalizado, visual sofisticado e acabamento de alta qualidade.",in stock,new,299.00 BRL,https://sneakersfast.com.br/SF0036.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253007/sneakerfast_catalog/SF0036_main.jpg,"https://sneakersfast.com.br/assets/images/SF0036/02.jpg,https://sneakersfast.com.br/assets/images/SF0036/03.jpg,https://sneakersfast.com.br/assets/images/SF0036/04.jpg,https://sneakersfast.com.br/assets/images/SF0036/05.jpg,https://sneakersfast.com.br/assets/images/SF0036/06.jpg,https://sneakersfast.com.br/assets/images/SF0036/07.jpg,https://sneakersfast.com.br/assets/images/SF0036/08.jpg,https://sneakersfast.com.br/assets/images/SF0036/09.jpg",Dior,Branco e Rosa,34/40
SF0037,Dior Sneaker Branco com Solado Azul Translúcido,"Tênis Dior premium em branco com detalhes contrastantes e solado azul translúcido, visual moderno e acabamento sofisticado",in stock,new,299.00 BRL,https://sneakersfast.com.br/SF0037.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253009/sneakerfast_catalog/SF0037_main.jpg,"https://sneakersfast.com.br/assets/images/SF0037/02.jpg,https://sneakersfast.com.br/assets/images/SF0037/03.jpg,https://sneakersfast.com.br/assets/images/SF0037/04.jpg,https://sneakersfast.com.br/assets/images/SF0037/05.jpg,https://sneakersfast.com.br/assets/images/SF0037/06.jpg,https://sneakersfast.com.br/assets/images/SF0037/07.jpg,https://sneakersfast.com.br/assets/images/SF0037/08.jpg,https://sneakersfast.com.br/assets/images/SF0037/09.jpg",Dior,Branco e Azul,34/42
SF0038,Dior ID Sneaker Branco com Rosa e Azul,Dior ID Sneaker Branco com Rosa e Azul disponível na grade 34/43. Consulte disponibilidade de cores e numerações.,in stock,new,299.00 BRL,https://sneakersfast.com.br/SF0038.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253010/sneakerfast_catalog/SF0038_main.jpg,"https://sneakersfast.com.br/assets/images/SF0038/02.jpg,https://sneakersfast.com.br/assets/images/SF0038/03.jpg,https://sneakersfast.com.br/assets/images/SF0038/04.jpg,https://sneakersfast.com.br/assets/images/SF0038/05.jpg,https://sneakersfast.com.br/assets/images/SF0038/06.jpg,https://sneakersfast.com.br/assets/images/SF0038/07.jpg,https://sneakersfast.com.br/assets/images/SF0038/08.jpg,https://sneakersfast.com.br/assets/images/SF0038/09.jpg",Dior,Degrade,34/43
SF0039,Dior ID Black Monogram,"Tênis Dior importado premium em preto, com aplicação de monograma em contraste e detalhe “DIOR-ID” dourado. Modelo com solado robusto e visual marcante, combinando proposta esportiva e sofisticada. Excelente opção para revenda, com forte presença visual e acabamento premium.",in stock,new,299.00 BRL,https://sneakersfast.com.br/SF0039.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253011/sneakerfast_catalog/SF0039_main.jpg,"https://sneakersfast.com.br/assets/images/SF0039/02.jpg,https://sneakersfast.com.br/assets/images/SF0039/03.jpg,https://sneakersfast.com.br/assets/images/SF0039/04.jpg,https://sneakersfast.com.br/assets/images/SF0039/05.jpg,https://sneakersfast.com.br/assets/images/SF0039/06.jpg,https://sneakersfast.com.br/assets/images/SF0039/07.jpg,https://sneakersfast.com.br/assets/images/SF0039/08.jpg,https://sneakersfast.com.br/assets/images/SF0039/09.jpg",Dior,Preto,34/45
SF0040,Dior Walk'n'Dior Oblique,"Tênis Dior Walk'n'Dior importado premium, confeccionado em visual monogramado Oblique preto e bege, com acabamento em tom off white. Modelo clássico e sofisticado, com perfil baixo, cadarço e detalhes Christian Dior. Excelente opção para revenda, combinando forte identidade visual e proposta premium.",in stock,new,299.00 BRL,https://sneakersfast.com.br/SF0040.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253011/sneakerfast_catalog/SF0040_main.jpg,"https://sneakersfast.com.br/assets/images/SF0040/02.jpg,https://sneakersfast.com.br/assets/images/SF0040/03.jpg,https://sneakersfast.com.br/assets/images/SF0040/04.jpg,https://sneakersfast.com.br/assets/images/SF0040/05.jpg,https://sneakersfast.com.br/assets/images/SF0040/06.jpg,https://sneakersfast.com.br/assets/images/SF0040/07.jpg,https://sneakersfast.com.br/assets/images/SF0040/08.jpg,https://sneakersfast.com.br/assets/images/SF0040/09.jpg",Dior,Preto e Bege,34/44
SF0041,LV Discovery Bumbag Monogram Shadow Black,"Pochete Louis Vuitton em acabamento preto com monograma em relevo por toda a peça, fechamento superior com zíper duplo e alça ajustável. Modelo versátil para uso transversal ou na cintura, com design moderno e proposta premium. Excelente opção para revenda e composição de looks urbanos",in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0041.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253012/sneakerfast_catalog/SF0041_main.jpg,"https://sneakersfast.com.br/assets/images/SF0041/02.jpg,https://sneakersfast.com.br/assets/images/SF0041/03.jpg,https://sneakersfast.com.br/assets/images/SF0041/04.jpg,https://sneakersfast.com.br/assets/images/SF0041/05.jpg,https://sneakersfast.com.br/assets/images/SF0041/06.jpg,https://sneakersfast.com.br/assets/images/SF0041/07.jpg,https://sneakersfast.com.br/assets/images/SF0041/08.jpg",LV,Preto,
SF0042,LV Discovery Bumbag Damier Graphite Black,"Pochete Louis Vuitton em acabamento preto e cinza com padrão Damier Graphite, fechamento superior com zíper duplo e alça ajustável. Modelo versátil para uso transversal ou na cintura, com visual urbano e sofisticado. Excelente opção para revenda, combinando praticidade, forte identidade visual e acabamento premium.",in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0042.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253015/sneakerfast_catalog/SF0042_main.jpg,"https://sneakersfast.com.br/assets/images/SF0042/02.jpg,https://sneakersfast.com.br/assets/images/SF0042/03.jpg,https://sneakersfast.com.br/assets/images/SF0042/04.jpg,https://sneakersfast.com.br/assets/images/SF0042/05.jpg,https://sneakersfast.com.br/assets/images/SF0042/06.jpg,https://sneakersfast.com.br/assets/images/SF0042/07.jpg,https://sneakersfast.com.br/assets/images/SF0042/08.jpg,https://sneakersfast.com.br/assets/images/SF0042/09.jpg",LV,Preto / Cinza Grafite,
SF0043,LV Discovery Bumbag Monogram Bandana Blue,"Pochete Louis Vuitton em azul com estampa inspirada no Monogram Bandana, combinando elementos clássicos da marca com grafismos em branco. Possui fechamento superior com zíper duplo, acabamento escuro e alça ajustável para uso transversal ou na cintura. Modelo moderno, diferenciado e com forte presença visual, ideal para revenda.",in stock,new,249.00 BRL,https://sneakersfast.com.br/SF0043.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253018/sneakerfast_catalog/SF0043_main.jpg,"https://sneakersfast.com.br/assets/images/SF0043/02.jpg,https://sneakersfast.com.br/assets/images/SF0043/03.jpg,https://sneakersfast.com.br/assets/images/SF0043/04.jpg,https://sneakersfast.com.br/assets/images/SF0043/05.jpg,https://sneakersfast.com.br/assets/images/SF0043/06.jpg,https://sneakersfast.com.br/assets/images/SF0043/07.jpg,https://sneakersfast.com.br/assets/images/SF0043/08.jpg",LV,Azul / Branco,
SF0044,Nike Air More Uptempo,"Tênis Nike Air More Uptempo com base branca, aplicações “AIR” em azul claro e solado robusto com unidades de amortecimento aparentes. Modelo de forte presença visual, inspirado no estilo basketball retrô, com acabamento premium e ótimo apelo para revenda.",in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0044.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253018/sneakerfast_catalog/SF0044_main.jpg,"https://sneakersfast.com.br/assets/images/SF0044/02.jpg,https://sneakersfast.com.br/assets/images/SF0044/03.jpg,https://sneakersfast.com.br/assets/images/SF0044/04.jpg,https://sneakersfast.com.br/assets/images/SF0044/05.jpg,https://sneakersfast.com.br/assets/images/SF0044/06.jpg,https://sneakersfast.com.br/assets/images/SF0044/07.jpg,https://sneakersfast.com.br/assets/images/SF0044/08.jpg,https://sneakersfast.com.br/assets/images/SF0044/09.jpg",Nike,Branco / Azul Claro,34/45
SF0045,Nike Air More Uptempo '96 OG,"Tênis Nike Air More Uptempo com cabedal vermelho, aplicações AIR em preto com contorno branco e solado robusto branco/vermelho. Modelo de forte presença visual, inspirado no basketball retrô, com design icônico e excelente apelo para revenda.",in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0045.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253019/sneakerfast_catalog/SF0045_main.jpg,"https://sneakersfast.com.br/assets/images/SF0045/02.jpg,https://sneakersfast.com.br/assets/images/SF0045/03.jpg,https://sneakersfast.com.br/assets/images/SF0045/04.jpg,https://sneakersfast.com.br/assets/images/SF0045/05.jpg,https://sneakersfast.com.br/assets/images/SF0045/06.jpg,https://sneakersfast.com.br/assets/images/SF0045/07.jpg,https://sneakersfast.com.br/assets/images/SF0045/08.jpg,https://sneakersfast.com.br/assets/images/SF0045/09.jpg",Nike,Vermelho / Preto / Branco,34/45
SF0046,Nike Air More Uptempo 88',"Tênis Nike Air More Uptempo com base branca, aplicações AIR em contraste e detalhes coloridos em laranja, amarelo e preto. Modelo de inspiração basketball retrô, com amortecimento aparente, estrutura robusta e forte presença visual. Excelente opção para revenda e para quem busca um sneaker diferenciado.",in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0046.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253020/sneakerfast_catalog/SF0046_main.jpg,"https://sneakersfast.com.br/assets/images/SF0046/02.jpg,https://sneakersfast.com.br/assets/images/SF0046/03.jpg,https://sneakersfast.com.br/assets/images/SF0046/04.jpg,https://sneakersfast.com.br/assets/images/SF0046/05.jpg,https://sneakersfast.com.br/assets/images/SF0046/06.jpg,https://sneakersfast.com.br/assets/images/SF0046/07.jpg,https://sneakersfast.com.br/assets/images/SF0046/08.jpg,https://sneakersfast.com.br/assets/images/SF0046/09.jpg",Nike,Branco / Laranja / Amarelo / Preto,34/45
SF0047,Nike Air More Uptempo QS,"Tênis Nike Air More Uptempo com cabedal em tons de azul e acabamento inspirado em denim, aplicações AIR contrastantes e solado branco com amortecimento aparente. Modelo robusto, marcante e inspirado no basketball retrô, com excelente apelo para revenda.",in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0047.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788253020/sneakerfast_catalog/SF0047_main.jpg,"https://sneakersfast.com.br/assets/images/SF0047/02.jpg,https://sneakersfast.com.br/assets/images/SF0047/03.jpg,https://sneakersfast.com.br/assets/images/SF0047/04.jpg,https://sneakersfast.com.br/assets/images/SF0047/05.jpg,https://sneakersfast.com.br/assets/images/SF0047/06.jpg,https://sneakersfast.com.br/assets/images/SF0047/07.jpg,https://sneakersfast.com.br/assets/images/SF0047/08.jpg,https://sneakersfast.com.br/assets/images/SF0047/09.jpg",Nike,Azul Jeans / Azul Marinho / Branco,34/45
SF0048,LV NANO SPEEDY MONOGRAM,"A bolsa Nano Speedy, confeccionada em uma versão repaginada do clássico canvas Monogram LV, exala feminilidade e é a escolha perfeita para carregar seus itens essenciais do dia a dia. Esta bolsa é uma versão em miniatura da Speedy original, com costuras impecáveis ​​e um design incrivelmente leve. ✨A alça de ombro é ajustável e removível.",in stock,new,399.00 BRL,https://sneakersfast.com.br/SF0048.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788308889/sneakerfast_catalog/SF0048_main.jpg,"https://sneakersfast.com.br/assets/images/SF0048/02.jpg,https://sneakersfast.com.br/assets/images/SF0048/03.jpg,https://sneakersfast.com.br/assets/images/SF0048/04.jpg,https://sneakersfast.com.br/assets/images/SF0048/05.jpg,https://sneakersfast.com.br/assets/images/SF0048/06.jpg,https://sneakersfast.com.br/assets/images/SF0048/07.jpg,https://sneakersfast.com.br/assets/images/SF0048/08.jpg,https://sneakersfast.com.br/assets/images/SF0048/09.jpg",LV,BRANCA/COLORIDA,
SF0049,LV M12579 GRAFFITE,"M12579 (Cinto de pele de carneiro importado com chip de código variável, aço premium) Produto de alta qualidade para varejo, fotos reais,  Dimensões: 33,5*23*15cm",in stock,new,399.00 BRL,https://sneakersfast.com.br/SF0049.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788308890/sneakerfast_catalog/SF0049_main.jpg,"https://sneakersfast.com.br/assets/images/SF0049/02.jpg,https://sneakersfast.com.br/assets/images/SF0049/03.jpg,https://sneakersfast.com.br/assets/images/SF0049/04.jpg,https://sneakersfast.com.br/assets/images/SF0049/05.jpg,https://sneakersfast.com.br/assets/images/SF0049/06.jpg,https://sneakersfast.com.br/assets/images/SF0049/07.jpg,https://sneakersfast.com.br/assets/images/SF0049/08.jpg,https://sneakersfast.com.br/assets/images/SF0049/09.jpg",LV,GRAFFITE,
SF0050,LV BAG M82465,"Versão Especial Aprimorada: Couro: Couro italiano de grau A
Ferragens: São utilizadas ferragens importadas de aço de alta qualidade.
Embalagem: Conjunto completo da embalagem original MB.
Dimensões: 12,5 x 17,6 x 6,0 cm (Comprimento x Altura x Largura)",in stock,new,299.00 BRL,https://sneakersfast.com.br/SF0050.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788308891/sneakerfast_catalog/SF0050_main.jpg,"https://sneakersfast.com.br/assets/images/SF0050/02.jpg,https://sneakersfast.com.br/assets/images/SF0050/03.jpg,https://sneakersfast.com.br/assets/images/SF0050/04.jpg,https://sneakersfast.com.br/assets/images/SF0050/05.jpg,https://sneakersfast.com.br/assets/images/SF0050/06.jpg,https://sneakersfast.com.br/assets/images/SF0050/07.jpg,https://sneakersfast.com.br/assets/images/SF0050/08.jpg,https://sneakersfast.com.br/assets/images/SF0050/09.jpg",LV,CONHAQUE/CARAMELO,
SF0051,LV Métis East West,"Versão Especial Aprimorada: Couro: Couro italiano de grau A
Ferragens: São utilizadas ferragens importadas de aço de alta qualidade.
Embalagem: Conjunto completo da embalagem original MB.
Dimensões: 21,5 x 13,5 x 6 cm",in stock,new,499.00 BRL,https://sneakersfast.com.br/SF0051.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788308892/sneakerfast_catalog/SF0051_main.jpg,"https://sneakersfast.com.br/assets/images/SF0051/02.jpg,https://sneakersfast.com.br/assets/images/SF0051/03.jpg,https://sneakersfast.com.br/assets/images/SF0051/04.jpg,https://sneakersfast.com.br/assets/images/SF0051/05.jpg,https://sneakersfast.com.br/assets/images/SF0051/06.jpg,https://sneakersfast.com.br/assets/images/SF0051/07.jpg,https://sneakersfast.com.br/assets/images/SF0051/08.jpg,https://sneakersfast.com.br/assets/images/SF0051/09.jpg",LV,CONHQUE/ CARAMELO,
SF0052,LV M46688 SPECCIALE,"Versão Especial Aprimorada: Ferragens em cinza aço preto que não desbotam.
Bolsa mensageiro com fecho em S. 
Couro: Couro italiano de grau A
Ferragens: São utilizadas ferragens importadas de aço de alta qualidade.
Embalagem: Conjunto completo da embalagem original MB.
Número de série: 22,0 x 18,0 x 8,0 cm (Comprimento x Altura x Largura)",in stock,new,399.00 BRL,https://sneakersfast.com.br/SF0052.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788308893/sneakerfast_catalog/SF0052_main.jpg,"https://sneakersfast.com.br/assets/images/SF0052/02.jpg,https://sneakersfast.com.br/assets/images/SF0052/03.jpg,https://sneakersfast.com.br/assets/images/SF0052/04.jpg,https://sneakersfast.com.br/assets/images/SF0052/05.jpg,https://sneakersfast.com.br/assets/images/SF0052/06.jpg,https://sneakersfast.com.br/assets/images/SF0052/07.jpg,https://sneakersfast.com.br/assets/images/SF0052/08.jpg,https://sneakersfast.com.br/assets/images/SF0052/09.jpg",LV,CONHAQUE/CARAMELO,
